StartDate,EndDate,1minusp,GLRTval
2022-01-01,2022-03-03,0.00282957214723178,8.91422920568951
2022-01-06,2022-03-08,0.000574612691831677,11.8564729445727
2022-01-11,2022-03-13,7.72141059687259e-05,15.6253107472182
2022-01-16,2022-03-18,0.000740136009164449,11.3856512173143
2022-01-21,2022-03-23,0.000899813060443178,11.0231444113592
2022-01-26,2022-03-28,0.00537330561952298,7.74931036634391
2022-01-31,2022-04-02,0.0038974047529291,8.33100700519765
2022-02-05,2022-04-07,0.00675949996257863,7.33578908433569
2022-02-10,2022-04-12,0.00851981616753783,6.92081450851157
2022-02-15,2022-04-17,0.0222508085513289,5.22606564247553
2022-02-20,2022-04-22,0.521998747849183,0.409942389038349
2022-02-25,2022-04-27,1.74971004407443e-06,22.851957851602
2022-03-02,2022-05-02,3.70794284421105e-06,21.4101950936043
2022-03-07,2022-05-07,1.41968080402677e-07,27.6958345184711
2022-03-12,2022-05-12,1.61858200176113e-07,27.4422260433401
2022-03-17,2022-05-17,8.48659724717038e-08,28.6917163353122
2022-03-22,2022-05-22,4.88293047107291e-08,29.7627155483924
2022-03-27,2022-05-27,0.00306122969772571,8.77061048915672
2022-04-01,2022-06-01,0.00992819991064053,6.64773421369
2022-04-06,2022-06-06,0.0102343374919118,6.59364575185492
2022-04-11,2022-06-11,0.00495456674072692,7.89594785333139
2022-04-16,2022-06-16,0.0430853529049182,4.09205008984418
2022-04-21,2022-06-21,0.0365822344970375,4.36975578262894
2022-04-26,2022-06-26,0.00950029022167609,6.72627298300884
2022-05-01,2022-07-01,0.00350272525098927,8.525146647935
2022-05-06,2022-07-06,0.0431511361496092,4.08947136728585
2022-05-11,2022-07-11,4.50594057523901e-05,16.6454018528995
2022-05-16,2022-07-16,0.000179020849169986,14.0393916163329
2022-05-21,2022-07-21,9.81068466665569e-05,15.172792599347
2022-05-26,2022-07-26,0.00374168481066073,8.40510646959976
2022-05-31,2022-07-31,0.00549261076778407,7.70965961439357
2022-06-05,2022-08-05,0.00389883395558299,8.33034095542396
2022-06-10,2022-08-10,0.0151737351966776,5.89618283698377
2022-06-15,2022-08-15,1,-1.36897658155257
2022-06-20,2022-08-20,0.0258418916238653,4.96656690049136
2022-06-25,2022-08-25,0.000655527474215267,11.6112877820888
2022-06-30,2022-08-30,1,-2.23068744050005
2022-07-05,2022-09-04,1,-9.90638830481645
2022-07-10,2022-09-09,0.0118696749408955,6.33023259269314
2022-07-15,2022-09-14,0.00483575530462199,7.93986084690495
2022-07-20,2022-09-19,1,-3.09841155615672
2022-07-25,2022-09-24,0.0143440905357072,5.99529398131209
2022-07-30,2022-09-29,0.00873163334190108,6.87691121518597
2022-08-04,2022-10-04,0.00448224991164203,8.07732751939974
2022-08-09,2022-10-09,0.0186920305344798,5.53010060561547
2022-08-14,2022-10-14,0.0125191949432694,6.23581522322502
2022-08-19,2022-10-19,0.0392837641315534,4.24855406025173
2022-08-24,2022-10-24,0.106770231429938,2.60138708536829
2022-08-29,2022-10-29,0.129995763895596,2.29255511212389
2022-09-03,2022-11-03,0.151460409195257,2.05748061210883
2022-09-08,2022-11-08,0.254514904590883,1.29834962041664
2022-09-13,2022-11-13,0.557852033010076,0.343436954763376
2022-09-18,2022-11-18,0.0572596451069486,3.61503127561278
2022-09-23,2022-11-23,0.0377319576091979,4.31706461534966
2022-09-28,2022-11-28,0.0788256961114376,3.08894920439715
2022-10-03,2022-12-03,0.232981920120032,1.42256352371115
2022-10-08,2022-12-08,0.0176312311165372,5.63242431477124
2022-10-13,2022-12-13,0.0438458536273201,4.06248798414944
2022-10-18,2022-12-18,0.0640465406768304,3.42936969018635
2022-10-23,2022-12-23,0.105196796303898,2.62493525093376
2022-10-28,2022-12-28,0.0340577577055344,4.49180210104457
