StartDate,EndDate,1minusp,GLRTval,GrangerTest
2022-01-01,2022-03-03,0.629351919686829,0.926129375960443,0.568523869892176
2022-01-06,2022-03-08,0.752268678842208,0.569323466298414,0.4588191481387
2022-01-11,2022-03-13,0.522316232375543,1.29896413075846,0.259132678068052
2022-01-16,2022-03-18,0.692192405207122,0.735782639608431,0.397178702836996
2022-01-21,2022-03-23,0.687876409083113,0.748292190292432,0.392944618804587
2022-01-26,2022-03-28,0.727312354451379,0.636798490464543,0.265049431035472
2022-01-31,2022-04-02,0.913996882505162,0.179856236719331,0.372918902029943
2022-02-05,2022-04-07,0.663822214007689,0.819481830691103,0.236839170934075
2022-02-10,2022-04-12,0.920688652636004,0.165266706956174,0.425700053357105
2022-02-15,2022-04-17,1,-0.013044621031014,0.980571885166908
2022-02-20,2022-04-22,0.782121586108525,0.491490139131088,0.450759277258146
2022-02-25,2022-04-27,0.24710469187265,2.79588635683871,0.0530013457747472
2022-03-02,2022-05-02,0.191292446226697,3.30790377969228,0.0344910659099299
2022-03-07,2022-05-07,0.211355947124939,3.10842322722925,0.0328890701111316
2022-03-12,2022-05-12,0.149670140474221,3.79864293976377,0.0530394695825185
2022-03-17,2022-05-17,0.145845373104677,3.85041661365653,0.0505639284424816
2022-03-22,2022-05-22,0.0996345219260265,4.61249313752492,0.0404117833694373
2022-03-27,2022-05-27,0.12089852988263,4.22560736243011,0.0461761905468105
2022-04-01,2022-06-01,0.261499808862945,2.68264345280613,0.0287020381037162
2022-04-06,2022-06-06,0.0750544276231575,5.17908345399567,0.0145633364804513
2022-04-11,2022-06-11,0.0588590948089645,5.66521783001573,0.0186576366922899
2022-04-16,2022-06-16,0.0453290508068215,6.18761430774623,0.0245362742443933
2022-04-21,2022-06-21,0.054272936958201,5.82745914968785,0.0158279671861585
2022-04-26,2022-06-26,0.659970391002151,0.831120614171908,0.472888135623721
2022-05-01,2022-07-01,0.168514246834371,3.56146996363626,0.0601255571156395
2022-05-06,2022-07-06,0.387539052844768,1.89587730746393,0.173791958231642
2022-05-11,2022-07-11,0.388264541541214,1.89213672717699,0.17301497651596
2022-05-16,2022-07-16,0.308663436664947,2.35100759485448,0.0730932832018417
2022-05-21,2022-07-21,0.0358570990551811,6.65642742095014,0.00726119820497606
2022-05-26,2022-07-26,0.0446394898348456,6.21827277881053,0.0123053699619283
2022-05-31,2022-07-31,0.0697477452693583,5.32574036938098,0.0210883709189654
2022-06-05,2022-08-05,0.0758958379943562,5.15678686293609,0.0234019118470543
2022-06-10,2022-08-10,0.219290910890759,3.03471214084755,0.0573269590824879
2022-06-15,2022-08-15,0.214075860453728,3.08284967734963,0.057010350928214
2022-06-20,2022-08-20,0.275341401723007,2.57948698095981,0.0782474842338656
2022-06-25,2022-08-25,0.0808187247067215,5.03109319776632,0.0199931929007627
2022-06-30,2022-08-30,0.24018488576867,2.85269258968725,0.0763042891307529
2022-07-05,2022-09-04,0.36166453972626,2.03407636526839,0.101858936077546
2022-07-10,2022-09-09,0.406960503284515,1.79807828355112,0.117964152352301
2022-07-15,2022-09-14,0.316451980495019,2.30116753860699,0.0880682369835381
2022-07-20,2022-09-19,0.636578060669243,0.903296456037111,0.222867198656866
2022-07-25,2022-09-24,1,-0.371308186513943,0.678717110762029
2022-07-30,2022-09-29,0.868844224045128,0.281182857303804,0.414506405467441
2022-08-04,2022-10-04,0.92654954403195,0.1525755205721,0.361131309322204
2022-08-09,2022-10-09,0.491862174929629,1.4191134679821,0.215044510975266
2022-08-14,2022-10-14,0.848974309183264,0.327452706438038,0.411451870421661
2022-08-19,2022-10-19,0.688316837760157,0.747012054110712,0.285709698833434
2022-08-24,2022-10-24,0.711327546483843,0.68124454207296,0.340218152050134
2022-08-29,2022-10-29,0.0656185760826382,5.44779290225256,0.0135661094772727
2022-09-03,2022-11-03,0.0405509594043827,6.41039167782623,0.00722113236740795
2022-09-08,2022-11-08,0.00703251116926584,9.91442285873214,0.000815349740166247
2022-09-13,2022-11-13,0.037838111722498,6.54887687533781,0.00642986583103809
2022-09-18,2022-11-18,0.0841574939587282,4.9501306150849,0.0187131570817853
2022-09-23,2022-11-23,0.0778128279779612,5.10689795470836,0.0153744816433024
2022-09-28,2022-11-28,0.0394646290157127,6.46470095240528,0.00807809397350674
2022-10-03,2022-12-03,0.567739386122374,1.13218558560752,0.302302310831076
2022-10-08,2022-12-08,0.137359041415131,3.97031408209821,0.0330967873297867
2022-10-13,2022-12-13,0.108695824350718,4.43840380005929,0.0318189629071343
2022-10-18,2022-12-18,0.136798316918468,3.97849515419389,0.0375691108562804
2022-10-23,2022-12-23,0.102966148867871,4.54670999307714,0.0253680484614997
2022-10-28,2022-12-28,0.485080989635363,1.44687882609372,0.149812513238965
