StartDate,EndDate,1minusp,GLRTval
2022-01-01,2022-03-03,1,-1.8080008088663
2022-01-06,2022-03-08,1,-1.93410370877585
2022-01-11,2022-03-13,1,-3.1980288585705
2022-01-16,2022-03-18,0.000700247383524699,11.4885900234732
2022-01-21,2022-03-23,0.00278751137191491,8.94158238726453
2022-01-26,2022-03-28,0.0263504958713819,4.93287153053461
2022-01-31,2022-04-02,0.0487234987401927,3.88485399539741
2022-02-05,2022-04-07,0.0798738121237074,3.06746750462557
2022-02-10,2022-04-12,0.0792840845691641,3.0795166553246
2022-02-15,2022-04-17,0.119384114862561,2.42538227939352
2022-02-20,2022-04-22,0.159173675061781,1.98205888877777
2022-02-25,2022-04-27,0.00988888925774756,6.65480319406831
2022-03-02,2022-05-02,0.000732972973719437,11.4037171606705
2022-03-07,2022-05-07,0.000463239035507157,12.2581157205008
2022-03-12,2022-05-12,0.0025349925303938,9.1151638218133
2022-03-17,2022-05-17,0.0022285061675692,9.3511086999074
2022-03-22,2022-05-22,0.00148761466106462,10.0938934050001
2022-03-27,2022-05-27,0.00226727344774025,9.31950412564527
2022-04-01,2022-06-01,0.00173826858550774,9.80723283994138
2022-04-06,2022-06-06,0.000739848938560717,11.3863718358884
2022-04-11,2022-06-11,0.00023164631250161,13.5552197236589
2022-04-16,2022-06-16,0.000211981946809159,13.7217793734325
2022-04-21,2022-06-21,0.0319964964419561,4.59868461914294
2022-04-26,2022-06-26,0.036679343039773,4.36523874692105
2022-05-01,2022-07-01,0.00925755486394841,6.77245221238093
2022-05-06,2022-07-06,0.0338738982372224,4.50105753006773
2022-05-11,2022-07-11,0.0175246902064469,5.64305049409091
2022-05-16,2022-07-16,0.019996554511502,5.41219519933256
2022-05-21,2022-07-21,0.00316756927005124,8.70834339109143
2022-05-26,2022-07-26,0.00630171013755432,7.46193874307679
2022-05-31,2022-07-31,0.00405505954503038,8.25899388345837
2022-06-05,2022-08-05,0.0174262095112374,5.65293222795097
2022-06-10,2022-08-10,0.10217014519003,2.67133724832587
2022-06-15,2022-08-15,0.0407475937212001,4.18648108331593
2022-06-20,2022-08-20,0.120340493172613,2.4128838354689
2022-06-25,2022-08-25,0.0183640624293553,5.56108185843112
2022-06-30,2022-08-30,0.0239406648627351,5.09892582472733
2022-07-05,2022-09-04,0.0480055175287826,3.90979273131762
2022-07-10,2022-09-09,0.0837832206759055,2.98994100756573
2022-07-15,2022-09-14,0.216504725200207,1.52738904941683
2022-07-20,2022-09-19,0.266787147334311,1.23319210153394
2022-07-25,2022-09-24,0.134410032165302,2.2408160033209
2022-07-30,2022-09-29,0.102830988753361,2.66107850292417
2022-08-04,2022-10-04,0.0745398464933127,3.18010704403324
2022-08-09,2022-10-09,0.026333083741204,4.93401388358919
2022-08-14,2022-10-14,0.0436642559932938,4.06949772858079
2022-08-19,2022-10-19,0.0265133058017799,4.92222791019
2022-08-24,2022-10-24,0.00876726910326153,6.86963225402637
2022-08-29,2022-10-29,0.00346625289173974,8.54419799415371
2022-09-03,2022-11-03,0.00107475632679199,10.6941363891122
2022-09-08,2022-11-08,0.00066918837173191,11.5729314496102
2022-09-13,2022-11-13,0.00338089425725718,8.58959372962374
2022-09-18,2022-11-18,0.00423723344565397,8.17924748069515
2022-09-23,2022-11-23,0.0266571270580723,4.91288202348233
2022-09-28,2022-11-28,0.000777236540003612,11.2948195795843
2022-10-03,2022-12-03,0.1248600678549,2.35527246577638
2022-10-08,2022-12-08,0.0019311434159095,9.61385964298719
2022-10-13,2022-12-13,0.00366237039929795,8.44406323274987
2022-10-18,2022-12-18,0.00235530427270536,9.24972783382552
2022-10-23,2022-12-23,0.000726219543896844,11.4209141518162
2022-10-28,2022-12-28,0.059997995730665,3.53743999881141
