StartDate,EndDate,1minusp,GLRTval,GrangerTest
2022-01-01,2022-03-03,1,-28.5626064068493,0.962734653857291
2022-01-06,2022-03-08,1,-30.4769801934019,0.949757661207434
2022-01-11,2022-03-13,1,-6.34204710635089,0.531796842366728
2022-01-16,2022-03-18,0.11329242921352,4.35556586778222,0.60508416733692
2022-01-21,2022-03-23,0.287650652146796,2.49201709704317,0.95347274004277
2022-01-26,2022-03-28,0.232520082301071,2.91755736439279,0.856656831864244
2022-01-31,2022-04-02,0.166243092220692,3.5886083017233,0.640294688566201
2022-02-05,2022-04-07,0.152850293467728,3.75659262135017,0.687966870077851
2022-02-10,2022-04-12,0.190534365186757,3.31584541200681,0.80229313316333
2022-02-15,2022-04-17,0.855426447047036,0.312310331825927,0.994900740068439
2022-02-20,2022-04-22,0.127945043141741,4.11230891542994,0.774886931103479
2022-02-25,2022-04-27,0.0495704743172243,6.00871979672138,0.274817038731835
2022-03-02,2022-05-02,0.0304740527932972,6.98175937106379,0.10145229770582
2022-03-07,2022-05-07,0.0113982955871151,8.94858288932318,0.0434898561530238
2022-03-12,2022-05-12,0.0992538304626505,4.6201495321549,0.139138641383775
2022-03-17,2022-05-17,0.0573306781923247,5.7178388050163,0.104765103034969
2022-03-22,2022-05-22,0.0372433223927378,6.58056522970176,0.133162455775202
2022-03-27,2022-05-27,0.429337624401761,1.69102333262259,0.623095487358063
2022-04-01,2022-06-01,1,-0.17628336382208,0.917177450672169
2022-04-06,2022-06-06,0.896561840488056,0.218376016814716,0.924638810260493
2022-04-11,2022-06-11,0.671996801390849,0.795003396610724,0.870842341958657
2022-04-16,2022-06-16,0.800685869694068,0.444573163000342,0.78742559522776
2022-04-21,2022-06-21,0.00370756978597331,11.1947573224201,0.293341945089953
2022-04-26,2022-06-26,0.126742930832571,4.13118882118057,0.313473242579226
2022-05-01,2022-07-01,0.0110097651026176,9.01794532677451,0.141148101162595
2022-05-06,2022-07-06,0.0513547768219639,5.93799464432726,0.424704997347599
2022-05-11,2022-07-11,0.00805942934293569,9.64182505218943,0.229034321151982
2022-05-16,2022-07-16,0.0203118042189567,7.79310614662967,0.221093475921769
2022-05-21,2022-07-21,0.0242030157299017,7.44255607329092,0.0949063461794601
2022-05-26,2022-07-26,0.201098134925161,3.20792451322345,0.62142444473844
2022-05-31,2022-07-31,0.189422815516511,3.32754728682548,0.570644082236058
2022-06-05,2022-08-05,0.104076403410684,4.52526000276598,0.509629835117709
2022-06-10,2022-08-10,0.34983129458188,2.10060851237165,0.824461397871674
2022-06-15,2022-08-15,0.370765116209263,1.98437305364303,0.895304557076249
2022-06-20,2022-08-20,0.867945464793051,0.283252789750037,0.790729157450886
2022-06-25,2022-08-25,1,-0.772404229583827,0.634014551468633
2022-06-30,2022-08-30,1,-4.3519861619265,0.900652906008183
2022-07-05,2022-09-04,1,-5.93850884636021,0.948854832078754
2022-07-10,2022-09-09,1,-0.0812064645419071,0.979306188298548
2022-07-15,2022-09-14,1,-1.17084366234326,0.925842703435893
2022-07-20,2022-09-19,1,-0.0251235942462245,0.957660770167891
2022-07-25,2022-09-24,0.0156932016297489,8.3090553552407,0.204940141324605
2022-07-30,2022-09-29,0.000970782760437716,13.8748156847366,0.0286348681598501
2022-08-04,2022-10-04,0.337784744811761,2.1706928720867,0.914534969070295
2022-08-09,2022-10-09,0.548804129284938,1.20002735678304,0.993696467053007
2022-08-14,2022-10-14,0.697110504555408,0.721622675334288,0.988686214252751
2022-08-19,2022-10-19,0.866789652320589,0.285917894369391,0.990191860009709
2022-08-24,2022-10-24,0.217681889411454,3.04944100955771,0.860460076070206
2022-08-29,2022-10-29,0.245745268872382,2.80691954386219,0.748644838409545
2022-09-03,2022-11-03,0.15757772381348,3.69567291581973,0.678449779748284
2022-09-08,2022-11-08,0.0680488233186405,5.37505968291504,0.578827749568746
2022-09-13,2022-11-13,0.258984477970303,2.7019742993902,0.870207332934412
2022-09-18,2022-11-18,0.331545304925756,2.20798162450305,0.792142477540049
2022-09-23,2022-11-23,0.245832856439881,2.80620683868744,0.763697951037514
2022-09-28,2022-11-28,0.0250005107365439,7.37771804972172,0.399616259446266
2022-10-03,2022-12-03,0.104938759127938,4.5087566907591,0.342048841132558
2022-10-08,2022-12-08,0.0552726564964189,5.79095390061516,0.256351953875148
2022-10-13,2022-12-13,0.15138065936195,3.77591538287294,0.400388486632196
2022-10-18,2022-12-18,0.0432780720144577,6.28021838447407,0.287197511399986
2022-10-23,2022-12-23,0.0278004839399985,7.1654037010469,0.343628468809172
2022-10-28,2022-12-28,0.0376545524892574,6.55860283199331,0.490814570974615
