StartDate,EndDate,1minusp,GLRTval
2022-01-01,2022-03-03,0.560070180373854,0.339582724385451
2022-01-06,2022-03-08,0.446868683035135,0.578581964266306
2022-01-11,2022-03-13,0.251994552657174,1.31221199059308
2022-01-16,2022-03-18,0.386680722006562,0.749354357527579
2022-01-21,2022-03-23,0.38226472899087,0.763405974566751
2022-01-26,2022-03-28,0.258259955345574,1.27806054735902
2022-01-31,2022-04-02,0.36390996321364,0.82435490423245
2022-02-05,2022-04-07,0.228711421280193,1.44885714826867
2022-02-10,2022-04-12,0.414579395852537,0.665629867861952
2022-02-15,2022-04-17,0.980525746766721,0.00059583739468394
2022-02-20,2022-04-22,0.478953668861985,0.50124482071476
2022-02-25,2022-04-27,0.134530091599495,2.23943542986299
2022-03-02,2022-05-02,0.102128694128487,2.67198314022423
2022-03-07,2022-05-07,0.107920264590745,2.5844151368008
2022-03-12,2022-05-12,0.0722714524455066,3.23066235710544
2022-03-17,2022-05-17,0.0490157161228963,3.87481484099163
2022-03-22,2022-05-22,0.0390459378840227,4.25886776047315
2022-03-27,2022-05-27,0.044328481386063,4.0440058314432
2022-04-01,2022-06-01,0.0956218412044364,2.7770887246206
2022-04-06,2022-06-06,0.0285456993974637,4.79480429613298
2022-04-11,2022-06-11,0.0391625975818479,4.25380042506788
2022-04-16,2022-06-16,0.0411575340429863,4.16951687725643
2022-04-21,2022-06-21,0.0157779256973375,5.82745583288087
2022-04-26,2022-06-26,0.468602782742154,0.525268780511396
2022-05-01,2022-07-01,0.0584561761048927,3.58065278179365
2022-05-06,2022-07-06,0.166332435214063,1.91569123408141
2022-05-11,2022-07-11,0.1660132865792,1.91857998397379
2022-05-16,2022-07-16,0.0705227712330049,3.2708105556531
2022-05-21,2022-07-21,0.00765067709897083,7.11347237000351
2022-05-26,2022-07-26,0.0124416204140559,6.24682381680574
2022-05-31,2022-07-31,0.0206069886575416,5.35972790096653
2022-06-05,2022-08-05,0.022889341949074,5.17688362987712
2022-06-10,2022-08-10,0.0548422910654329,3.68687457519255
2022-06-15,2022-08-15,0.0545621907503501,3.69541551119477
2022-06-20,2022-08-20,0.0743095230794952,3.1851643802874
2022-06-25,2022-08-25,0.0197289629563823,5.43571936039964
2022-06-30,2022-08-30,0.0730553762150671,3.21300098852132
2022-07-05,2022-09-04,0.0969882082920605,2.75438329628858
2022-07-10,2022-09-09,0.112615071928204,2.5171342862607
2022-07-15,2022-09-14,0.0840092411368327,2.98557892177743
2022-07-20,2022-09-19,0.21457069836219,1.54031651719555
2022-07-25,2022-09-24,0.671154463050916,0.180254680979971
2022-07-30,2022-09-29,0.404104268460482,0.696079247155495
2022-08-04,2022-10-04,0.350630315899153,0.871174668598201
2022-08-09,2022-10-09,0.206950062708326,1.59263504739786
2022-08-14,2022-10-14,0.400987684968234,0.705362430522683
2022-08-19,2022-10-19,0.275661552688385,1.18835535080677
2022-08-24,2022-10-24,0.331630760333831,0.942519389348007
2022-08-29,2022-10-29,0.0135686181983897,6.09342023598106
2022-09-03,2022-11-03,0.00747939103761019,7.15407374589876
2022-09-08,2022-11-08,0.00112711437625568,10.6061614107323
2022-09-13,2022-11-13,0.00665515086548663,7.36375918974173
2022-09-18,2022-11-18,0.0185085492981296,5.54736316333498
2022-09-23,2022-11-23,0.0152404062015344,5.88846187628025
2022-09-28,2022-11-28,0.00849331247115892,6.92638640355977
2022-10-03,2022-12-03,0.282273653693299,1.15611048932266
2022-10-08,2022-12-08,0.032010762109154,4.59792044999941
2022-10-13,2022-12-13,0.0307898333613564,4.66464246891729
2022-10-18,2022-12-18,0.0361898014947124,4.38813868824968
2022-10-23,2022-12-23,0.0247282906541201,5.04281392460993
2022-10-28,2022-12-28,0.142909185916916,2.14635099708244
